424,0,3%,6x6,-0.178,0.048,-0.787,0.009
424,0,3%,8x8,-0.122,0.058,-0.592,0.013
424,0,3%,10x10,-0.09,0.072,-0.374,0.057
424,0,3%,12x12,-0.085,0.065,-0.315,0.05
424,0,3%,15x15,-0.157,0.001,-0.448,0.0
424,0,5%,6x6,-0.138,0.111,-0.522,0.093
424,0,5%,8x8,-0.075,0.188,-0.271,0.255
424,0,5%,10x10,-0.071,0.131,-0.289,0.135
424,0,5%,12x12,-0.044,0.21,-0.164,0.306
424,0,5%,15x15,-0.0,0.454,-0.002,0.986
424,0,10%,6x6,0.018,0.302,0.059,0.83
424,0,10%,8x8,-0.031,0.41,-0.11,0.632
424,0,10%,10x10,0.021,0.281,0.075,0.667
424,0,10%,12x12,-0.006,0.488,-0.024,0.874
424,0,10%,15x15,0.018,0.263,0.061,0.617
424,0,20%,6x6,-0.159,0.073,-0.669,0.026
424,0,20%,8x8,0.007,0.369,0.021,0.924
424,0,20%,10x10,0.023,0.266,0.089,0.61
424,0,20%,12x12,0.082,0.022,0.249,0.063
424,0,20%,15x15,0.043,0.088,0.139,0.235
424,0,50%,6x6,-0.104,0.2,-0.569,0.057
424,0,50%,8x8,-0.053,0.291,-0.214,0.359
424,0,50%,10x10,-0.055,0.202,-0.229,0.236
424,0,50%,12x12,-0.028,0.32,-0.112,0.48
424,0,50%,15x15,0.014,0.297,0.054,0.658
424,0,100%,6x6,-0.046,0.422,-0.193,0.521
424,0,100%,8x8,0.054,0.15,0.157,0.444
424,0,100%,10x10,0.065,0.079,0.209,0.197
424,0,100%,12x12,0.067,0.047,0.209,0.13
424,0,100%,15x15,0.044,0.083,0.142,0.223
424,0.2,3%,6x6,-0.038,0.457,-0.131,0.656
424,0.2,3%,8x8,-0.15,0.023,-0.595,0.014
424,0.2,3%,10x10,0.003,0.403,0.024,0.894
424,0.2,3%,12x12,0.015,0.322,0.035,0.814
424,0.2,3%,15x15,-0.074,0.082,-0.207,0.102
424,0.2,5%,6x6,-0.049,0.408,-0.185,0.537
424,0.2,5%,8x8,-0.054,0.283,-0.217,0.353
424,0.2,5%,10x10,-0.032,0.343,-0.139,0.462
424,0.2,5%,12x12,-0.028,0.324,-0.094,0.553
424,0.2,5%,15x15,-0.033,0.228,-0.129,0.316
424,0.2,10%,6x6,-0.006,0.401,-0.079,0.782
424,0.2,10%,8x8,-0.087,0.145,-0.416,0.083
424,0.2,10%,10x10,0.023,0.266,0.075,0.67
424,0.2,10%,12x12,-0.046,0.191,-0.165,0.306
424,0.2,10%,15x15,-0.007,0.477,-0.024,0.848
424,0.2,20%,6x6,-0.014,0.435,-0.099,0.733
424,0.2,20%,8x8,-0.038,0.37,-0.139,0.546
424,0.2,20%,10x10,-0.031,0.345,-0.059,0.746
424,0.2,20%,12x12,0.018,0.289,0.044,0.769
424,0.2,20%,15x15,-0.011,0.423,-0.042,0.737
424,0.2,50%,6x6,0.009,0.339,0.091,0.734
424,0.2,50%,8x8,0.067,0.108,0.224,0.249
424,0.2,50%,10x10,0.046,0.148,0.137,0.419
424,0.2,50%,12x12,0.041,0.138,0.127,0.381
424,0.2,50%,15x15,0.025,0.2,0.078,0.519
424,0.2,100%,6x6,-0.042,0.44,-0.149,0.617
424,0.2,100%,8x8,0.061,0.128,0.189,0.345
424,0.2,100%,10x10,0.076,0.055,0.228,0.156
424,0.2,100%,12x12,0.086,0.018,0.256,0.056
424,0.2,100%,15x15,0.074,0.013,0.231,0.037
424,0.4,3%,6x6,-0.03,0.494,-0.081,0.78
424,0.4,3%,8x8,0.049,0.166,0.136,0.511
424,0.4,3%,10x10,0.059,0.111,0.154,0.357
